,Year,SL.AGR.EMPL.FE.ZS,AG.LND.AGRI.K2,SL.AGR.EMPL.MA.ZS,Country Code,Country Name,Region,Income Group,Lending Type
0,2013,1.0800000429,578420,2.4000000954000003,CAN,Canada,North America,High income,Not classified
1,2013,27.8799991608,5288015,34.2099990845,CHN,China,East Asia & Pacific,Upper middle income,IBRD
2,2013,1.0099999905,166970,1.8200000525000002,DEU,Germany,Europe & Central Asia,High income,Not classified
3,2013,59.3600006104,1796980,43.0900001526,IND,India,South Asia,Lower middle income,IBRD
